Participant Identifier,Survey name,Destination name,Destination address,Destination latitude,Destination longitude,Created at,Emissions per km (kg CO2e),"Total distance (round trip, km)","Total emissions (round trip, kg CO2e)",Time spent total (s),Time spent in origin address (s),Time spent in means of transportation (s),Time spent in map (s),Time spent in additional questions,Number of itineraries,Itinerary Identifier,Itinerary index,Origin address,Origin latitude,Origin longitude,"Distance (single journey, km)",Means of transportation,Emission factor value,Emission factor authority,Emission factor source,Emission factor year,Emission factor region,Emission factor description,"Emissions (single journey, kg CO2e)",Automobile passengers,Automobile size,Automobile drive,Allocation
74478D9A-C72D-4D29-840B-C427061B39E0,"Adele Mobilitätsbefragung Publikum Eingang 1 Fr., 9. August",Adele Stadion,"Paul-Henri-Spaak-Straße 18, Trudering-Riem, München, Deutschland",48.138842,11.702597,2024-08-09T13:48:05.978Z,0.06942,1563.86,108.56344,27.75,15.19,11.58,6.08,0,1,14E03380-F4F7-47AA-94CA-F4DA445195AA,1,Hamburg,53.550612,9.992715,781.93,taxi,0.20826,"Department for Business, Energy & Industrial Strategy (BEIS)",https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,2022,GB,Emission intensity of business travel by land. Land-based conversion factors should be used for travel for business purposes in assets not owned or directly operated by a business. This includes mileage for business purposes in cars owned by employees/public transport/hire cars/and so on. Retrieved from the Conversion Factors 2022: flat file published by the UK BEIS/Defra at the source URL.,54.28172,3,,,
25308801-4A36-4122-B653-9CBDB794112E,"Adele Mobilitätsbefragung Publikum Eingang 1 Fr., 9. August",Adele Stadion,"Paul-Henri-Spaak-Straße 18, Trudering-Riem, München, Deutschland",48.138842,11.702597,2024-08-09T13:48:05.978Z,0.06942,1563.86,108.56344,27.75,15.19,11.58,6.08,0,1,7A571DB0-81DB-4C2D-AD0B-A69858CDC5E5,1,Hamburg,53.550612,9.992715,781.93,taxi,0.20826,"Department for Business, Energy & Industrial Strategy (BEIS)",https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,2022,GB,Emission intensity of business travel by land. Land-based conversion factors should be used for travel for business purposes in assets not owned or directly operated by a business. This includes mileage for business purposes in cars owned by employees/public transport/hire cars/and so on. Retrieved from the Conversion Factors 2022: flat file published by the UK BEIS/Defra at the source URL.,54.28172,3,,,
3826883D-E30A-4A6B-8619-43852875DE81,"Adele Mobilitätsbefragung Publikum Eingang 1 Fr., 9. August",Adele Stadion,"Paul-Henri-Spaak-Straße 18, Trudering-Riem, München, Deutschland",48.138842,11.702597,2024-08-09T13:48:05.978Z,0.06942,1563.86,108.56344,27.75,15.19,11.58,6.08,0,1,EF9CCFBA-EC04-4875-86C2-418390DE9492,1,Hamburg,53.550612,9.992715,781.93,taxi,0.20826,"Department for Business, Energy & Industrial Strategy (BEIS)",https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,2022,GB,Emission intensity of business travel by land. Land-based conversion factors should be used for travel for business purposes in assets not owned or directly operated by a business. This includes mileage for business purposes in cars owned by employees/public transport/hire cars/and so on. Retrieved from the Conversion Factors 2022: flat file published by the UK BEIS/Defra at the source URL.,54.28172,3,,,
E502BA71-00E1-405E-96F5-E9AB5501E6D9,"Adele Mobilitätsbefragung Publikum Eingang 1 Fr., 9. August",Adele Stadion,"Paul-Henri-Spaak-Straße 18, Trudering-Riem, München, Deutschland",48.138842,11.702597,2024-08-09T13:49:13.110Z,0.14291,2174.92,310.81109,59.2,7.23,19.85,37.67,11.28,2,2C430CE6-6FDC-40D5-8DB3-F35C3A02CE62,1,"Potsdamer Straße, Potsdamer Straße",48.167124,11.589227,585.39,trainRegional,0.0546,Umweltbundesamt (UBA),https://www.probas.umweltbundesamt.de/php/prozessdetails.php?id={F9C83447-3994-4B54-B7D7-A5E6B81C725E},2020,DE,Emission intensity of electric local passenger train. Direct electricity consumption and upstream LCA activity is included.,31.96246,,,,This event is one of several reasons for my journey.
E502BA71-00E1-405E-96F5-E9AB5501E6D9,"Adele Mobilitätsbefragung Publikum Eingang 1 Fr., 9. August",Adele Stadion,"Paul-Henri-Spaak-Straße 18, Trudering-Riem, München, Deutschland",48.138842,11.702597,2024-08-09T13:49:13.110Z,0.14291,2174.92,310.81109,59.2,7.23,19.85,37.67,11.28,2,14D60FAF-A68A-44CC-9AB5-4A5E61DD3B56,2,Berlin,52.518742,13.408022,502.07,flight,0.24587,"Department for Business, Energy & Industrial Strategy (BEIS)",https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,2022,GB,Emission intensity of domestic flight (within UK) for average passenger including fuel combustion and radiative forcing (RF) effect reflecting impact of contrails and high-altitude release of GHGs but not upstream fuel emissions. 8% distance uplift applied for indirect nature of flights. Retrieved from the Conversion Factors 2022: flat file published by the UK BEIS/Defra at the source URL.,123.44309,,,,This event is one of several reasons for my journey.
209BF503-49A7-4149-9037-15F8C2C81716,"Adele Mobilitätsbefragung Publikum Eingang 1 Fr., 9. August",Adele Stadion,"Paul-Henri-Spaak-Straße 18, Trudering-Riem, München, Deutschland",48.138842,11.702597,2024-08-09T13:58:31.512Z,0.075,740.1,55.50735,17.74,11.89,605.84,4.73,0,1,076DCBD3-157E-43F4-91D3-D63C0E60F51D,1,Offenburg,48.469404,7.942922,370.05,trainUrban,0.075,Umweltbundesamt (UBA),https://www.umweltbundesamt.de/themen/verkehr-laerm/emissionsdaten,2020,DE,"Straßen-, Stadt- und U-Bahn (km)",27.75367,,,,
6E8CA167-4C81-4618-B580-755BBA72B605,"Adele Mobilitätsbefragung Publikum Eingang 1 Fr., 9. August",Adele Stadion,"Paul-Henri-Spaak-Straße 18, Trudering-Riem, München, Deutschland",48.138842,11.702597,2024-08-09T13:58:31.512Z,0.075,740.1,55.50735,17.74,11.89,605.84,4.73,0,1,4F2DA8A2-4B42-440E-B547-1251478EE5DB,1,Offenburg,48.469404,7.942922,370.05,trainUrban,0.075,Umweltbundesamt (UBA),https://www.umweltbundesamt.de/themen/verkehr-laerm/emissionsdaten,2020,DE,"Straßen-, Stadt- und U-Bahn (km)",27.75367,,,,
49A7D665-65B2-4360-B5FA-A5211743D30B,"Adele Mobilitätsbefragung Publikum Eingang 1 Fr., 9. August",Adele Stadion,"Paul-Henri-Spaak-Straße 18, Trudering-Riem, München, Deutschland",48.138842,11.702597,2024-08-09T13:59:28.281Z,0.049,1043.35,51.12425,19.04,14.95,20.29,3.98,0,1,C869259D-EF1F-42D4-AEC2-A1DD85AFD23B,1,Metz,49.119302,6.175737,521.68,automobile,0.147,Umweltbundesamt (UBA),https://www.probas.umweltbundesamt.de/php/prozessdetails.php?id={56740D43-276B-491E-8B91-A7C696112038},2020,DE,Emission intensity of petrol passenger car medium. Emissions from fuel combustion only.,25.56212,3,car,petrol,
06891892-B72A-4FE4-AA5B-9BF7A80A6C95,"Adele Mobilitätsbefragung Publikum Eingang 1 Fr., 9. August",Adele Stadion,"Paul-Henri-Spaak-Straße 18, Trudering-Riem, München, Deutschland",48.138842,11.702597,2024-08-09T13:59:28.281Z,0.049,1043.35,51.12425,19.04,14.95,20.29,3.98,0,1,A0012F09-20E3-4330-94C3-957C325224F5,1,Metz,49.119302,6.175737,521.68,automobile,0.147,Umweltbundesamt (UBA),https://www.probas.umweltbundesamt.de/php/prozessdetails.php?id={56740D43-276B-491E-8B91-A7C696112038},2020,DE,Emission intensity of petrol passenger car medium. Emissions from fuel combustion only.,25.56212,3,car,petrol,
B8F17C88-D389-498E-B5CD-7ECC70A62FD4,"Adele Mobilitätsbefragung Publikum Eingang 1 Fr., 9. August",Adele Stadion,"Paul-Henri-Spaak-Straße 18, Trudering-Riem, München, Deutschland",48.138842,11.702597,2024-08-09T13:59:28.281Z,0.049,1043.35,51.12425,19.04,14.95,20.29,3.98,0,1,3D0DBD0B-B0E5-4EF0-AA46-71106F2294DC,1,Metz,49.119302,6.175737,521.68,automobile,0.147,Umweltbundesamt (UBA),https://www.probas.umweltbundesamt.de/php/prozessdetails.php?id={56740D43-276B-491E-8B91-A7C696112038},2020,DE,Emission intensity of petrol passenger car medium. Emissions from fuel combustion only.,25.56212,3,car,petrol,
